term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
dips,954,AbbVie (ABBV) Gains As Market Dips: What You Should Know,AbbVie (ABBV) Dips More Than Broader Markets: What You Should Know,False,False
gas,951,Southwest Gas (SWX) Gains on Investments & Customer Addition,CMS Energy (CMS) Arm Set to Invest $170M in Natural Gas System,False,False
out,941,3 Dividend Stocks to Ride out the Market Volatility,Here's Why Investors Shouldn't Count Out Johnson & Johnson as a Coronavirus Vaccine Stock,False,False
ishares,940,"Lantz Financial LLC Buys Snap-on Inc, Abbott Laboratories, AbbVie Inc, Sells iShares Core ...","Buckley Wealth Management, LLC Buys iShares Intermediate Credit Bond ETF, 'M Co, Trane ...",False,False
occidental,934,"BUZZ-U.S. STOCKS ON THE MOVE-DuPont, Occidental Petroleum, Safe-T Group","BUZZ-U.S. STOCKS ON THE MOVE-DuPont, Occidental Petroleum, Safe-T Group",False,False
make,933,Could This Cancer Drug Developer’s Stock Make You Rich?,5 Ways to Make Your Money Work for You,False,False
blog,933,"The Zacks Analyst Blog Highlights: Macy's, AbbVie, Pfizer and New Residential Investment","The Zacks Analyst Blog Highlights: Procter & Gamble, AbbVie, QUALCOMM, PepsiCo and CME Group",False,False
hours,929,"After Hours Most Active for Jul 31, 2020 : CTL, RUN, AGNC, IAA, MSFT, FE, REXR, HPE, ABBV, QQQ, HBAN, NWL","After Hours Most Active for Oct 1, 2020 : VICI, AAPL, SLB, ABBV, SGMS, MSFT, HST, MNST, APA, RUN, GE, VZ",False,False
group,928,"Spirit Of America Management Corp Buys Hess Midstream Operations LP, Blackstone Group Inc, TC ...","The Zacks Analyst Blog Highlights: Procter & Gamble, AbbVie, QUALCOMM, PepsiCo and CME Group",False,False
pre-market,928,"Pre-Market Earnings Report for July 31, 2020 : MRK, XOM, CVX, ABBV, CHTR, CAT, D, CL, ITW, AON, LHX, IDXX","Pre-Market Earnings Report for October 30, 2020 : ABBV, XOM, CVX, CHTR, HON, MO, CL, AON, LHX, PEG, LYB, WY",False,False
analysts,923,Analysts Predict 34% Upside For TOK,Analysts See 15% Gains Ahead For EQWL,False,False
several,923,"Shares of several healthcare companies are trading higher amid market strength. NOTE: The coronavirus pandemic has potentially benefited the sector due to demand for medical supplies, testing and treatment candidates","Shares of several healthcare companies are trading lower with the overall market on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus pandemic.",False,False
hit,917,Moderna Short Sellers Take $450M Hit Following Coronavirus Vaccine Data,Analysts Expect FXH To Hit $98,False,False
inflows,916,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF","Noteworthy ETF Inflows: VTV, HON, ABBV, GE",False,True
economic,916,5 Biopharmaceutical Stocks To Watch Amidst Global Economic Growth Concerns,Stocks Rally as Economic News Shows a Resilient U.S. Economy,False,False
cop,913,"QUAL, COP, ATO, ADBE: Large Inflows Detected at ETF","Noteworthy ETF Outflows: HDV, WMB, COP, AEP",False,False
qcom,895,"ACWI, PEP, ABBV, QCOM: ETF Inflow Alert","Notable Friday Option Activity: ABBV, DE, QCOM",False,False
billion,892,AbbVie Signs $3.9 Billion Oncology Deal with Genmab,Why AbbVie Just Made a $1.8 Billion Gene Therapy Deal,False,False
beats,879,"AbbVie Q4 EPS $2.21 Beats $2.19 Estimate, Sales $8.704B Beat $8.7B Estimate","J&J (JNJ) Beats on Q1 Earnings, Cuts View on Coronavirus Impact",False,True
cmcsa,871,"IVW, QCOM, ABBV, CMCSA: Large Outflows Detected at ETF","Pre-Market Earnings Report for July 27, 2023 : MA, ABBV, MCD, LIN, CMCSA, HON, SPGI, BMY, AMT, HCA, BSX, NOC",False,False
coca-cola,868,3 Dividend Stocks That Pay You Better Than Coca-Cola Does,"Zacks Investment Ideas feature highlights: Coca-Cola Company, AbbVie and Exxon Mobil",False,False
business,859,AbbVie To Create New Global Business Upon Completion Of Allergan Acquisition,Johnson & Johnson's Diversified Business Serves It Well in Uncertain Times,False,False
moves,859,S&P 500 Analyst Moves: ABBV,S&P 500 Analyst Moves: ABBV,False,False
put,857,Interesting ABBV Put And Call Options For May 28th,Interesting ABBV Put And Call Options For June 18th,False,False
etfs,843,The Best Large-Cap ETFs to Buy in 2020,Best ETFs for 2020: The AdvisorShares Vice ETF Bets Big on Booze,False,False
outlook,840,AbbVie Issues FY20 Outlook - Quick Facts,AbbVie Raises FY20 Adj. EPS Outlook; Boosts Dividend 10.2% - Quick Facts,False,False
